ledger_id,order_id,customer_name,amount,currency,order_date,payment_method,status,refund_amount,notes
LED71261,ORD507746,Tanya Desai,5497.31,INR,2026-02-21,card,paid,0.0,
LED16590,ORD513160,Rohan Patel,5213.45,INR,2026-01-18,card,paid,0.0,
LED20735,ORD442722,Tanya Verma,7061.19,INR,2026-02-05,netbanking,paid,0.0,
LED42411,ORD466960,Nikhil Desai,735.22,INR,2026-03-25,upi,paid,0.0,
LED31992,ORD596564,Rahul Iyer,7592.5,INR,2026-03-01,netbanking,paid,0.0,
LED61990,ORD915573,Siddharth Gupta,1043.17,INR,2026-01-04,wallet,paid,0.0,
LED55508,ORD206851,Shreya Rao,5537.22,INR,2026-01-16,upi,paid,0.0,
LED57472,ORD630538,Tanya Sharma,6826.69,INR,2026-03-04,wallet,paid,0.0,
LED67091,ORD284692,Madhuri Desai,2306.64,INR,2026-03-10,wallet,paid,0.0,
LED70910,ORD993085,Riya Rao,7490.05,INR,2026-02-05,card,paid,0.0,
LED43862,ORD130094,Pallavi Rao,2735.11,INR,2026-03-04,netbanking,paid,0.0,
LED74038,ORD682789,Priya Nair,7594.89,INR,2026-01-11,wallet,paid,0.0,
LED63005,ORD777278,Pallavi Reddy,6384.88,INR,2026-01-12,card,paid,0.0,
LED69473,ORD596249,Madhuri Mehta,3518.93,INR,2026-03-12,netbanking,paid,0.0,
LED35105,ORD856321,Amit Mehta,1132.53,INR,2026-03-10,card,paid,0.0,
LED80010,ORD205409,Amit Gupta,1974.37,INR,2026-01-23,upi,paid,0.0,
LED85243,ORD831295,Pooja Desai,6974.0,INR,2026-03-04,upi,paid,0.0,
LED62521,ORD293319,Arjun Gupta,7540.3,INR,2026-03-03,upi,paid,0.0,
LED89471,ORD256445,Shreya Patel,7952.56,INR,2026-01-16,wallet,paid,0.0,
LED89905,ORD572398,Gaurav Gupta,6909.3,INR,2026-02-24,upi,paid,0.0,
LED10350,ORD377501,Vikram Singh,2070.95,INR,2026-03-12,card,paid,0.0,
LED40595,ORD134225,Nikhil Gupta,5714.26,INR,2026-03-31,upi,paid,0.0,
LED17816,ORD220351,Nikhil Desai,1362.12,INR,2026-02-04,upi,paid,0.0,
LED67377,ORD230394,Isha Shah,2571.91,INR,2026-02-21,wallet,paid,0.0,
LED98117,ORD733039,Suresh Sharma,912.35,INR,2026-03-28,upi,paid,0.0,
LED93202,ORD593355,Madhuri Desai,3649.39,INR,2026-02-05,wallet,paid,0.0,
LED74942,ORD528184,Tanya Mehta,5427.04,INR,2026-01-21,wallet,paid,0.0,
LED96200,ORD576919,Vikram Mehta,2168.71,INR,2026-01-15,upi,paid,0.0,
LED16764,ORD296694,Madhuri Mehta,5056.54,INR,2026-03-05,wallet,paid,0.0,
LED50730,ORD559398,Pallavi Patel,751.83,INR,2026-01-31,card,partially_refunded,363.65,Partial refund of ₹363.65 applied
LED76698,ORD335615,Rahul Reddy,3210.31,INR,2026-01-20,netbanking,partially_refunded,1577.93,Partial refund of ₹1577.93 applied
LED19150,ORD595158,Riya Reddy,2318.16,INR,2026-03-18,card,partially_refunded,886.9,Partial refund of ₹886.9 applied
LED29476,ORD456385,Sachin Gupta,3183.53,INR,2026-02-08,wallet,partially_refunded,1098.67,Partial refund of ₹1098.67 applied
LED40613,ORD678727,Vivek Reddy,2962.24,INR,2026-03-31,wallet,partially_refunded,1769.17,Partial refund of ₹1769.17 applied
LED74923,ORD880879,Tushar Shah,7324.76,INR,2026-02-18,card,paid,0.0,
LED23069,ORD138817,Pooja Nair,7729.76,INR,2026-02-12,wallet,paid,0.0,
LED71537,ORD651499,Isha Sharma,5835.06,INR,2026-02-22,upi,paid,0.0,
LED98389,ORD919488,Suresh Mehta,5061.42,INR,2026-02-20,netbanking,paid,0.0,
LED90931,ORD659543,Vivek Mehta,5089.03,INR,2026-03-04,upi,paid,0.0,
LED21846,ORD171744,Riya Desai,5538.32,INR,2026-02-06,card,failed,0.0,Payment declined
LED31805,ORD555052,Ananya Verma,5143.23,INR,2026-01-13,wallet,failed,0.0,Payment declined
LED48452,ORD827712,Shreya Mishra,425.79,INR,2026-02-11,upi,failed,0.0,Payment declined
LED84177,ORD475876,Deepa Joshi,1335.44,INR,2026-03-09,wallet,failed,0.0,Payment declined
LED91226,ORD814919,Divya Singh,1565.54,INR,2026-03-20,wallet,failed,0.0,Payment declined
LED47512,ORD833247,Rohan Rao,817.82,INR,2026-01-07,wallet,paid,0.0,
LED40162,ORD409571,Swati Gupta,821.92,INR,2026-01-07,wallet,paid,0.0,
LED33021,ORD758765,Meera Gupta,2075.06,INR,2026-01-12,wallet,paid,0.0,
LED36318,ORD201883,Gaurav Sharma,2078.76,INR,2026-01-12,wallet,paid,0.0,
LED89964,ORD962367,Deepa Patel,2154.58,INR,2026-03-02,netbanking,paid,0.0,Monthly gym membership renewal
LED28320,ORD766269,Isha Mishra,2222.8,INR,2026-03-25,upi,paid,0.0,Personal training package - 10 sessions
LED58629,ORD221761,Ananya Kumar,2706.87,INR,2026-01-18,wallet,paid,0.0,Annual premium membership upgrade
